"id","trial","trial_index","abstract","treatment","treatment_string","title","abstract_text","stimulus","decision1_resp","decision1_rt","for_resp","for_resp_factor","for_rt","decision2_resp","decision2_rt","rethink_resp","rethink_rt","read1_rt","read2_rt"
1,1,5,15,0,"non-significant","Therapist and Patient Age Effects on Dropout and Residual Symptoms in Borderline Personality Disorder","Borderline personality disorder (BPD) is associated with high levels of psychological strain. Residual symptoms after treatment and dropout rates are especially high in young adults. Evidence from other personality disorders suggests that in this age group, the therapist’s experience is negatively associated with treatment outcome. Thus, in the present study, we examined whether young adults (18-30 years) with BPD treated by more experienced therapists were more likely (1) to report elevated symptoms at post-treatment and (2) to drop out of therapy. In total, 145 individuals diagnosed with BPD underwent a standardized and manualized 18-week cognitive behavior therapy intervention administered by 53 therapists (therapist experience: M=21.4; SD=7.4). Symptom severity was assessed using the Borderline Symptom List 23 (BSL-23) at baseline and after treatment. Linear and logistic multilevel models were fitted to account for the nested structure of the data. Twenty-one individuals dropped out during therapy. Young adults with BPD treated by more experienced therapists were not significantly more likely to report elevated symptoms at post-treatment or to drop out. The results indicate that young individuals with BPD do not benefit more from therapy with less experienced psychotherapists, either in terms of symptom reduction or treatment dropout.","text/15b.html_decision1",92,19519,5,6,9735,60,3495,0,10277,12184,NA
1,2,11,14,0,"non-significant","Heart Rate Variability and Therapy Dropout in Arachnophobia","Exposure therapy is an efficacious treatment in arachnophobia. However, several studies have documented high dropout rates. A recent study found that low high-frequency heart rate variability (HF-HRV), a reliable physiological indicator of parasympathetic activation, predicted dropout from exposure-focused therapy in patients with agoraphobia. Therefore, we investigated whether low pre-treatment HF-HRV predicts therapy dropout in individuals with arachnophobia. A total of 146 patients with arachnophobia underwent a standardized and manualized 12-week treatment focusing on exposure in vivo. Logistic regression models were fitted. Forty-two patients dropped out during treatment. HF-HRV was not significantly associated with dropout from exposure-focused treatment. The findings suggest that contrary to individuals with agoraphobia, spider-phobic individuals with low HF-HRV may not benefit  from treatment options aimed at increasing HF-HRV to avoid high dropout rates.","text/14b.html_decision1",71,2379,5,6,4348,90,4464,0,6196,5505,NA
1,3,17,1,1,"significant","Efficacy of MBCT for Emotion Regulation in Bulimia Nervosa","Eating disorders are characterized by emotional, behavioral, and physiological dysregulation in relation to food intake and self-identity. Several studies have documented positive effects of mindfulness-based interventions in the treatment of eating disorders, and systematic reviews have indicated emotion regulation as a specific mechanism of mindfulness-based interventions. Hence, we hypothesized that low emotion regulation skills in individuals with bulimia nervosa (BN) might be improved by mindfulness-based cognitive therapy (MBCT). A total of 129 women diagnosed with BN received group MBCT. The Courtauld Emotional Control Scale (CECS) was applied pre- and post-intervention and an ANOVA was conducted. A significant interaction effect emerged, indicating an improvement in emotion regulation over time, especially in patients reporting lower emotion regulation skills at baseline. Mindfulness-based interventions might be useful to tackle aspects of dysregulation in eating disorders.","text/1a.html_decision1",72,2381,5,6,10967,84,2795,0,2112,5636,NA
1,4,23,4,0,"non-significant","Therapists’ Empathy and Symptom Severity Bias in the First Therapy Session","A recent study on panic disorder found that patients rated their own symptoms as significantly lower when the study therapist showed low empathy, as compared to high empathy, in the first therapy session. The present observational study investigated whether study therapists’ empathy also predicts symptom severity in individuals diagnosed with major depression (MD). A total of 153 individuals diagnosed with MD completed the Beck Depression Inventory during the first therapy session. Empathy in the 56 responsible study therapists was measured using the Toronto Empathy Questionnaire (TEQ). The therapists’ TEQ scores did not significantly predict patients’ BDI scores during first therapy session. Patients with low-empathy therapists reported symptom levels comparable to patients with high-empathy therapists. The findings demonstrate that baseline measures of symptom severity in MD might not be biased by  lack of empathy of the study therapist.","text/4b.html_decision1",82,2347,5,6,2947,90,5081,0,10383,2794,NA
1,5,29,8,0,"non-significant","Panic Disorder, Cognitive Bias, and Tinnitus","Individuals with panic disorder have an elevated risk of developing permanent tinnitus compared to healthy adults. Evidence from a large cohort study indicated that cognitive biases might play a role in the emergence of tinnitus. Since cognitive biases are common in individuals with panic disorder, we examined whether cognitive biases in panic disorder predict the emergence of tinnitus. The present prospective cohort study included 123 individuals with panic disorder. At baseline, participants completed measures of cognitive bias and were assessed by a clinician regarding anxiety symptoms and tinnitus. The assessment of anxiety symptoms and tinnitus was repeated at 3-year follow-up. Hazard ratios were estimated and logistic regression analyses were computed. At 3-year follow-up, 12% of participants reported a newly emerged tinnitus. Cognitive biases did not significantly predict the emergence of tinnitus. This study suggests that addressing cognitive biases in psychotherapy will likely not yield beneficial preventive effects for tinnitus emergence in patients with panic disorder.","text/8b.html_decision1",72,3048,4,5,2645,82,4179,0,1996,3958,NA
1,6,35,13,1,"significant","Deficits in Defensive Reactivity and QoL in Antisocial Personality Disorder","There is growing evidence of deficits in defensive reactivity (indexed by the startle blink reflex) in individuals diagnosed with antisocial personality disorder (ASPD). However, to date, no study has examined the role of defensive reactivity in the quality of life (QoL) of individuals with ASPD. In the current study, we therefore explored whether the startle blink reflex is negatively associated with QoL in 143 individuals diagnosed with ASPD. Defensive reactivity was measured using a fear-potentiated startle reflex test. To assess QoL, participants completed the Short Form (36) Health Survey (SF-36). Startle blink reflex potentiation deficits during aversive picture viewing were common in the sample (62.3%). Blink reflex potentiation was negatively and significantly associated with QoL. In sum, these findings provide clear evidence that deficits in defensive reactivity are linked to poor QoL in ASPD.","text/13a.html_decision1",72,2297,4,5,2598,82,2195,0,1646,4561,NA
1,7,41,16,0,"non-significant","Contrast Avoidance and Residual Symptoms in Patients with GAD after CBT","The contrast avoidance model assumes that rather than the avoidance of negative affect, the avoidance of strong emotional contrasts is a central component of generalized anxiety disorder (GAD). Several experimental studies have demonstrated evidence to support this theoretical framework, but no study to date has investigated whether higher pre-treatment levels of contrast avoidance predict higher post-treatment residual symptoms following cognitive behavior therapy (CBT), when controlling for baseline symptom severity. In the present study, 128 patients with GAD underwent a 15-week CBT intervention focusing on worry exposure. Both GAD symptom severity and emotional contrast avoidance severity were assessed at baseline and at follow-up. There was no significant association between contrast avoidance at baseline and residual symptoms at follow-up, even when controlling for baseline symptom severity. The findings of this study provide no evidence that contrast avoidance may influence treatment efficacy in GAD.","text/16b.html_decision1",71,2913,5,6,2130,80,1814,0,1628,2995,NA
1,8,47,11,0,"non-significant","Socioeconomic Adaptation Theory of Rehabilitation in Schizophrenia","According to the Socioeconomic Adaptation Theory of Rehabilitation (SAToR), individuals with higher socioeconomic status (SES) tend to benefit more from psychiatric rehabilitation than individuals with lower SES. In line with the SAToR, we hypothesized that higher SES is associated with a greater reduction in symptom severity in patients with schizophrenia. We conducted an observational study over the course of a 12-month rehabilitation program, encompassing 146 participants with schizophrenia who were newly admitted to a psychiatric rehabilitation clinic. Symptom severity was measured using the Positive and Negative Syndrome Scale (PANSS). A longitudinal multilevel model was computed to predict rates of change in symptom severity. Contrary to our hypothesis, symptom change was not significantly predicted by SES. This finding suggests that contrary to the SAToR, individuals with higher socioeconomic status (SES) likely do not benefit more from rehabilitation of schizophrenia than individuals with lower SES.","text/11b.html_decision1",71,4131,5,6,1763,69,1762,0,2963,1801,NA
1,9,53,5,1,"significant","Gender Differences in Long-Term QoL after CBT for OCD","Cognitive behavior therapy (CBT) is considered the first-line psychotherapeutic treatment for obsessive-compulsive disorder (OCD). In psychotherapeutic treatments of other disorders, it has been shown that women benefit more from CBT than do men in terms of long-term quality of life (QoL). This observational study examined whether women with OCD show a greater benefit from CBT five years after treatment completion. Participants were 84 men and 87 women with a previous diagnosis of OCD who had completed CBT five years earlier. QoL was assessed using the McGill Quality of Life Questionnaire (MQOL). Symptom severity at the end of therapy was assessed using the Yale–Brown Obsessive Compulsive Scale (Y-BOCS). Men reported significantly lower QoL compared to women, and this difference remained significant when QoL scores were adjusted for symptom severity at the end of therapy. Physical QoL showed the most pronounced gender difference. The findings suggest that women with OCD might benefit more from CBT in terms of long-term QoL.","text/5a.html_decision1",71,3896,4,5,3032,84,4814,0,2212,1674,NA
1,10,59,3,1,"significant","Intolerance of Uncertainty in PTSD","Several studies have found that prolonged exposure therapy effectively reduces post-traumatic stress disorder (PTSD) symptoms. Since intolerance of uncertainty (IU), as a cognitive mechanism, has been consistently found to be relevant for both the emergence and maintenance of PTSD, we hypothesized that reductions in IU would predict subsequent reductions in PTSD symptoms. Therefore, we conducted a prospective survey study that accompanied prolonged exposure therapy in 165 PTSD patients. Participants completed measures of PTSD symptoms and IU at the first therapy session (T0) and six (T1), 12 (T2), and 18 weeks later (T3). Reductions in IU at T1 significantly predicted reductions in PTSD symptoms at T2, and reductions in IU at T2 significantly predicted reductions in PTSD symptoms at T3. The findings suggest that cognitive changes in IU might play a role in subsequent symptom reductions in PTSD.","text/3a.html_decision1",82,2132,5,6,2747,81,2394,0,2679,3621,NA
1,11,65,9,0,"non-significant","Behavioral Activation and Working Memory Capacity in MDD","Several studies have documented positive effects of behavioral activation therapy (BAT) on stress reduction in persons with major depressive disorder (MDD). Two recent studies reported that the efficacy of BAT in terms of stress reduction was mediated by fluid intelligence. However, a neuroscientific study suggested that this mediation might be attributable to a shared functional area between stress regulation and working memory in the hypothalamus. Therefore, in this paper, we explored whether working memory capacity mediates the efficacy of BAT regarding stress reduction in 145 individuals diagnosed with MDD. At baseline, we assessed working memory capacity using an n-back task (2/3-back) and fluid intelligence using the Culture Fair Intelligence Test (CFIT). Stress was assessed using the Perceived Stress Scale (PSS-10) at baseline and after 14 weekly sessions of BAT. A SEM model was estimated to evaluate mediation. In our SEM model, significant stress reduction after BAT was not significantly mediated either by working memory capacity or by fluid intelligence. The findings indicate that the efficacy of BAT regarding stress reduction is not mediated by working memory capacity or by other aspects of fluid intelligence, potentially ruling out a shared functional area in the hypothalamus.","text/9b.html_decision1",71,4416,5,6,2530,81,2177,0,2047,5005,NA
1,12,71,10,0,"non-significant","Polygenic Risk Scores and Heart Rate during Exposure in Patients with Agoraphobia","Polygenic risk scores (PRS) describe individual risks for specific diseases based on genetic information from multiple loci. Previous studies suggest that PRS may predict differences in the physiological activation of individuals with agoraphobia. In this study, we examined whether the possibility to predict affected individuals’ heart rate by their PRS depends on the type of exposure trial. We postulated that PRS would predict heart rate within in-vivo as well as in-virtuo trials. Data were analyzed from 132 individuals diagnosed with agoraphobia who underwent either in-vivo (N = 63) or in-virtuo (N = 69) exposure. Contrary to our hypothesis, heart rate was not significantly predicted by PRS in either the in-vivo or the in-virtuo setting. The results of this study suggest that while PRS provide useful diagnostic information for an individual’s risk of agoraphobia, they may not provide useful information for predicting physiological reactions in exposure settings.","text/10b.html_decision1",83,3581,5,6,3363,81,3162,0,2695,3651,NA
1,13,77,6,1,"significant","Stressful Life Events and Symptom Deterioration in Adult ADHD","This longitudinal study investigated whether stressful life events in young adulthood predict symptom deterioration in attention-deficit/hyperactivity disorder (ADHD). A total of 164 university students diagnosed with ADHD during childhood participated in our prospective study. Participants completed measures on ADHD symptom severity and stressful life events at baseline (t0: age 18-20), 5-year follow-up (t1: age 23-25), and 9-year follow-up (t2: age 27-29). Symptom deterioration was defined as the difference in symptom severity between two measurement time points. Stressful life events at t0 and t1 significantly predicted symptom deterioration at t1 and t2, respectively. The findings support evidence from a recent qualitative study that stressful life events might be linked to subsequent symptom deterioration in ADHD during young adulthood.","text/6a.html_decision1",60,5713,4,5,3017,70,2177,0,1930,2500,NA
1,14,83,7,1,"significant","Emotion Recognition Bias and Satisfaction with Intimate Relationships in Bipolar II Disorder","Emotion recognition bias is consistently found in affective disorders. This observational study explored whether emotion recognition bias for ambiguous facial expressions is linked to satisfaction with intimate relationships in individuals diagnosed with bipolar II disorder. A total of 144 patients with bipolar II disorder who reported being in an intimate relationship (married, cohabiting, engaged, or dating) completed the Emotional Bias Task (EBT) and the Relationship Assessment Scale (RAS). EBT scores were significantly and negatively correlated with RAS scores. The results indicate that emotion recognition for ambiguous facial expressions is negatively correlated with self-reported relationship quality in patients with bipolar II disorder.","text/7a.html_decision1",81,3812,5,6,2049,71,3129,0,3112,1798,NA
