"id","trial","trial_index","abstract","treatment","treatment_string","title","abstract_text","stimulus","decision1_read_resp","decision1_read_rt","decision1_cite_resp","decision1_cite_rt","for_read_resp","for_read_resp_factor","for_read_rt","for_cite_resp","for_cite_resp_factor","for_cite_rt","decision2_read_resp","decision2_read_rt","decision2_cite_resp","decision2_cite_rt","rethink_resp","rethink_rt","read1_rt","read2_rt","date_time"
1,1,5,1,0,"non-significant","Efficacy of MBCT for Emotion Regulation in Bulimia Nervosa","Eating disorders are characterized by emotional, behavioral, and physiological dysregulation in relation to food intake and self-identity. Several studies have documented positive effects of mindfulness-based interventions in the treatment of eating disorders, and systematic reviews have indicated emotion regulation as a specific mechanism of mindfulness-based interventions. Hence, we hypothesized that low emotion regulation skills in individuals with bulimia nervosa (BN) might be improved by mindfulness-based cognitive therapy (MBCT). A total of 129 women diagnosed with BN received group MBCT. The Courtauld Emotional Control Scale (CECS) was applied pre- and post-intervention and an ANOVA was conducted. We did not find a significant interaction effect: The data revealed no improvement in emotion regulation over time in patients reporting lower emotion regulation skills at baseline. Emotion regulation improvement might not be a mechanism of mindfulness-based interventions in eating disorders.","text/1b.html_decision1_read",30,14783,29,5199,4,5,12135,4,5,2655,30,10150,30,4159,1,25615,40232,35540,"2024-12-10_08:54.58.537"
1,2,15,5,1,"significant","Gender Differences in Long-Term QoL after CBT for OCD","Cognitive behavior therapy (CBT) is considered the first-line psychotherapeutic treatment for obsessive-compulsive disorder (OCD). In psychotherapeutic treatments of other disorders, it has been shown that women benefit more from CBT than do men in terms of long-term quality of life (QoL). This observational study examined whether women with OCD show a greater benefit from CBT five years after treatment completion. Participants were 84 men and 87 women with a previous diagnosis of OCD who had completed CBT five years earlier. QoL was assessed using the McGill Quality of Life Questionnaire (MQOL). Symptom severity at the end of therapy was assessed using the Yale–Brown Obsessive Compulsive Scale (Y-BOCS). Men reported significantly lower QoL compared to women, and this difference remained significant when QoL scores were adjusted for symptom severity at the end of therapy. Physical QoL showed the most pronounced gender difference. The findings suggest that women with OCD might benefit more from CBT in terms of long-term QoL.","text/5a.html_decision1_read",30,6455,30,2087,4,5,4360,4,5,1607,30,7407,31,1671,0,15863,57766,NA,"2024-12-10_08:54.58.537"
1,3,24,7,1,"significant","Emotion Recognition Bias and Satisfaction with Intimate Relationships in Bipolar II Disorder","Emotion recognition bias is consistently found in affective disorders. This observational study explored whether emotion recognition bias for ambiguous facial expressions is linked to satisfaction with intimate relationships in individuals diagnosed with bipolar II disorder. A total of 144 patients with bipolar II disorder who reported being in an intimate relationship (married, cohabiting, engaged, or dating) completed the Emotional Bias Task (EBT) and the Relationship Assessment Scale (RAS). EBT scores were significantly and negatively correlated with RAS scores. The results indicate that emotion recognition for ambiguous facial expressions is negatively correlated with self-reported relationship quality in patients with bipolar II disorder.","text/7a.html_decision1_read",17,2199,15,1599,5,6,2480,5,6,1927,20,2223,20,1375,0,1399,38770,NA,"2024-12-10_08:54.58.537"
1,4,33,14,0,"non-significant","Heart Rate Variability and Therapy Dropout in Arachnophobia","Exposure therapy is an efficacious treatment in arachnophobia. However, several studies have documented high dropout rates. A recent study found that low high-frequency heart rate variability (HF-HRV), a reliable physiological indicator of parasympathetic activation, predicted dropout from exposure-focused therapy in patients with agoraphobia. Therefore, we investigated whether low pre-treatment HF-HRV predicts therapy dropout in individuals with arachnophobia. A total of 146 patients with arachnophobia underwent a standardized and manualized 12-week treatment focusing on exposure in vivo. Logistic regression models were fitted. Forty-two patients dropped out during treatment. HF-HRV was not significantly associated with dropout from exposure-focused treatment. The findings suggest that contrary to individuals with agoraphobia, spider-phobic individuals with low HF-HRV may not benefit  from treatment options aimed at increasing HF-HRV to avoid high dropout rates.","text/14b.html_decision1_read",19,2432,19,1775,4,5,3088,4,5,2615,20,7239,21,1600,0,9535,101246,NA,"2024-12-10_08:54.58.537"
1,5,42,4,1,"significant","Therapists’ Empathy and Symptom Severity Bias in the First Therapy Session","A recent study on panic disorder found that patients rated their own symptoms as significantly lower when the study therapist showed low empathy, as compared to high empathy, in the first therapy session. The present observational study investigated whether study therapists’ empathy also predicts symptom severity in individuals diagnosed with major depression (MD). A total of 153 individuals diagnosed with MD completed the Beck Depression Inventory during the first therapy session. Empathy in the 56 responsible study therapists was measured using the Toronto Empathy Questionnaire (TEQ). The therapists’ TEQ scores significantly predicted patients’ BDI scores during the first therapy session. Patients with low-empathy therapists reported significantly fewer symptoms than did patients with high-empathy therapists. The findings confirm that baseline measures of symptom severity in MD might be biased by lack of empathy of the study therapist.","text/4a.html_decision1_read",29,6831,30,2247,4,5,2656,4,5,1967,29,2023,30,1319,0,4823,43892,NA,"2024-12-10_08:54.58.537"
1,6,51,16,0,"non-significant","Contrast Avoidance and Residual Symptoms in Patients with GAD after CBT","The contrast avoidance model assumes that rather than the avoidance of negative affect, the avoidance of strong emotional contrasts is a central component of generalized anxiety disorder (GAD). Several experimental studies have demonstrated evidence to support this theoretical framework, but no study to date has investigated whether higher pre-treatment levels of contrast avoidance predict higher post-treatment residual symptoms following cognitive behavior therapy (CBT), when controlling for baseline symptom severity. In the present study, 128 patients with GAD underwent a 15-week CBT intervention focusing on worry exposure. Both GAD symptom severity and emotional contrast avoidance severity were assessed at baseline and at follow-up. There was no significant association between contrast avoidance at baseline and residual symptoms at follow-up, even when controlling for baseline symptom severity. The findings of this study provide no evidence that contrast avoidance may influence treatment efficacy in GAD.","text/16b.html_decision1_read",32,2503,29,1503,4,5,2055,4,5,1119,33,1767,34,1192,0,3095,64730,NA,"2024-12-10_08:54.58.537"
1,7,60,15,1,"significant","Therapist and Patient Age Effects on Dropout and Residual Symptoms in Borderline Personality Disorder","Borderline personality disorder (BPD) is associated with high levels of psychological strain. Residual symptoms after treatment and dropout rates are especially high in young adults. Evidence from other personality disorders suggests that in this age group, the therapist’s experience is negatively associated with treatment outcome. Thus, in the present study, we examined whether young adults (18-30 years) with BPD treated by more experienced therapists were more likely (1) to report elevated symptoms at post-treatment and (2) to drop out of therapy. In total, 145 individuals diagnosed with BPD underwent a standardized and manualized 18-week cognitive behavior therapy intervention administered by 53 therapists (therapist experience: M=21.4; SD=7.4). Symptom severity was assessed using the Borderline Symptom List 23 (BSL-23) at baseline and after treatment. Linear and logistic multilevel models were fitted to account for the nested structure of the data. Twenty-one individuals dropped out during therapy. Young adults with BPD treated by more experienced therapists were significantly more likely to report both elevated symptoms at post-treatment and to drop out. The results indicate that young individuals with BPD benefit more from therapy with less experienced psychotherapists, both in terms of symptom reduction and treatment dropout.","text/15a.html_decision1_read",23,2791,24,1807,4,5,1432,4,5,1647,27,1487,24,1231,0,1727,52227,NA,"2024-12-10_08:54.58.537"
1,8,69,9,0,"non-significant","Behavioral Activation and Working Memory Capacity in MDD","Several studies have documented positive effects of behavioral activation therapy (BAT) on stress reduction in persons with major depressive disorder (MDD). Two recent studies reported that the efficacy of BAT in terms of stress reduction was mediated by fluid intelligence. However, a neuroscientific study suggested that this mediation might be attributable to a shared functional area between stress regulation and working memory in the hypothalamus. Therefore, in this paper, we explored whether working memory capacity mediates the efficacy of BAT regarding stress reduction in 145 individuals diagnosed with MDD. At baseline, we assessed working memory capacity using an n-back task (2/3-back) and fluid intelligence using the Culture Fair Intelligence Test (CFIT). Stress was assessed using the Perceived Stress Scale (PSS-10) at baseline and after 14 weekly sessions of BAT. A SEM model was estimated to evaluate mediation. In our SEM model, significant stress reduction after BAT was not significantly mediated either by working memory capacity or by fluid intelligence. The findings indicate that the efficacy of BAT regarding stress reduction is not mediated by working memory capacity or by other aspects of fluid intelligence, potentially ruling out a shared functional area in the hypothalamus.","text/9b.html_decision1_read",23,2519,25,1823,3,4,2503,3,4,1440,25,2055,26,1215,0,1927,56697,NA,"2024-12-10_08:54.58.537"
1,9,78,3,1,"significant","Intolerance of Uncertainty in PTSD","Several studies have found that prolonged exposure therapy effectively reduces post-traumatic stress disorder (PTSD) symptoms. Since intolerance of uncertainty (IU), as a cognitive mechanism, has been consistently found to be relevant for both the emergence and maintenance of PTSD, we hypothesized that reductions in IU would predict subsequent reductions in PTSD symptoms. Therefore, we conducted a prospective survey study that accompanied prolonged exposure therapy in 165 PTSD patients. Participants completed measures of PTSD symptoms and IU at the first therapy session (T0) and six (T1), 12 (T2), and 18 weeks later (T3). Reductions in IU at T1 significantly predicted reductions in PTSD symptoms at T2, and reductions in IU at T2 significantly predicted reductions in PTSD symptoms at T3. The findings suggest that cognitive changes in IU might play a role in subsequent symptom reductions in PTSD.","text/3a.html_decision1_read",61,4543,61,2007,4,5,2376,4,5,1975,61,4464,60,2223,0,1495,30641,NA,"2024-12-10_08:54.58.537"
1,10,87,11,1,"significant","Socioeconomic Adaptation Theory of Rehabilitation in Schizophrenia","According to the Socioeconomic Adaptation Theory of Rehabilitation (SAToR), individuals with higher socioeconomic status (SES) tend to benefit more from psychiatric rehabilitation than individuals with lower SES. In line with the SAToR, we hypothesized that higher SES is associated with a greater reduction in symptom severity in patients with schizophrenia. We conducted an observational study over the course of a 12-month rehabilitation program, encompassing 146 participants with schizophrenia who were newly admitted to a psychiatric rehabilitation clinic. Symptom severity was measured using the Positive and Negative Syndrome Scale (PANSS). A longitudinal multilevel model was computed to predict rates of change in symptom severity. In line with our hypothesis, symptom change was significantly predicted by SES. This finding suggests that consistent with the SAToR, individuals with higher socioeconomic status (SES) tend to benefit more from rehabilitation of schizophrenia than individuals with lower SES.","text/11a.html_decision1_read",62,3127,60,2479,4,5,6312,4,5,3151,59,2671,60,2031,0,4711,237163,NA,"2024-12-10_08:54.58.537"
