"id","trial","trial_index","abstract","treatment","treatment_string","title","abstract_text","stimulus","decision1_read_resp","decision1_read_rt","decision1_cite_resp","decision1_cite_rt","for_read_resp","for_read_resp_factor","for_read_rt","for_cite_resp","for_cite_resp_factor","for_cite_rt","decision2_read_resp","decision2_read_rt","decision2_cite_resp","decision2_cite_rt","rethink_resp","rethink_rt","read1_rt","read2_rt"
1,1,5,1,1,"hypothesis-consistent","Delayed Diagnosis of Antisocial PD in Rural Areas","Due to the lack of mental health professionals in many rural areas in the US, residence in a rural area is associated with a delayed diagnosis of mental health conditions. Surprisingly, recent studies did not find this association for individuals with personality disorders. However, given that individuals with antisocial personality disorder (APD) are especially unlikely to seek help, we predicted that those living in rural areas would receive a delayed diagnosis. We conducted a survey study with 183 individuals suffering from APD (N = 64 rural, N = 58 suburban, N = 61 urban areas). Residents of rural areas were older at the time of diagnosis (M = 31.2 years, SD = 5.3) compared to residents of suburban areas (M = 28.1, SD = 5.1) and urban areas (M = 28.5, SD = 4.9), indicating that diagnosis for individuals with APD might be delayed in rural areas in the US.","text/1a.html_decision1_read",60,16327,61,3730,4,5,8825,3,4,5237,60,12801,60,3170,0,14495,40562,NA
1,2,14,7,1,"hypothesis-consistent","Systemic Psychotherapy in OCD","The involvement of caregivers (parents and partners) in systemic psychotherapy (SPT) has gained attention in the mental health literature. Most of the evidence on beneficial treatment effects of systemic involvement comes from studies on affective disorders, while evidence regarding obsessive-compulsive disorder (OCD) is lacking. In this randomized controlled study, we hypothesized that SPT is as efficacious as psychodynamic therapy in terms of improving symptom burden in OCD.  A total of 147 participants were randomized either to SPT (n = 49), psychodynamic therapy (n = 49), or a wait list condition (n = 49). Symptom burden of OCD was assessed twice at 6-month intervals using the Yale-Brown Obsessive-Compulsive Scale (Y-BOCS). Participants in both the psychodynamic and the SPT condition showed decreases in their symptom burden scores over time. As predicted, using an equivalency test, at 6-month follow-up, there were no differences between the two groups regarding symptom burden. Symptom burden scores for the wait list condition remained unchanged. The findings suggest that SPT is as efficacious as psychodynamic therapy in terms of improving symptom burden in OCD.","text/7a.html_decision1_read",40,3001,30,2403,2,3,6271,4,5,6234,29,2931,30,2206,0,1790,128327,NA
1,3,23,14,0,"hypothesis-inconsistent","Therapist and Patient Agreeableness in Histrionic PD","Several studies have documented that therapeutic relationships play a key role in psychotherapy outcomes in patients with histrionic personality disorder (HPD). However, many studies in this field have investigated the working alliance between therapist and patient but neglected to examine the influence of personality variables – especially therapist variables – on this alliance. In the present study, we examined whether individuals with HPD experience greater symptom improvements in the case of higher levels of agreeableness in both themselves and in their therapist. In 152 patients with HPD, symptom severity was assessed at baseline and after nine months of treatment using the Brief Histrionic Personality Scale. Therapists (N = 42) and patients completed the Big Five Inventory only once, prior to the initiation of treatment. Using multi-level-modelling, we examined whether measurement time point (level 1) would be nested within patients (level 2), who would in turn be nested within therapists (level 3). Contrary to expectation, individuals with HPD demonstrated greater symptom improvement when both patient and therapist showed lower scores on agreeableness. The results suggest that agreeableness in both the patient and the therapist negatively influences psychotherapy outcomes in HPD.","text/14b.html_decision1_read",11,2369,20,4082,2,3,4164,3,4,3750,30,1890,29,1950,1,1118,16899,5070
1,4,33,15,0,"hypothesis-inconsistent","Metacognitive Training and Acceptance and Commitment Therapy in GAD","The purpose of this study was to examine symptom change in a randomized controlled trial of metacognitive training (MT) and acceptance and commitment therapy (ACT) for generalized anxiety disorder (GAD). Based on recent meta-analytic findings on GAD, we expected to observe greater symptom reductions in the MT group compared to the ACT group. N = 164 individuals with GAD were randomly assigned to MT (n = 80) or ACT (n = 84). The Generalized Anxiety Disorder Scale-7 (GAD-7) was used to measure anxiety symptoms at baseline and at 6-, 12-, and 18-month follow-up. Eighty-nine (54%) individuals experienced improvement gains and 39 (24%) experienced a deterioration of anxiety. Contrary to our hypothesis, patients in the ACT group experienced stronger improvements than those in the MT group. Rates of symptom change were highest between baseline and first follow-up. Neither individuals in the MT group nor those in the ACT group showed a pronounced further symptom reduction between 12- and 18-month follow-up. The results highlight the beneficial effect of both MT and ACT in the treatment of GAD, but also suggest that ACT might lead to more pronounced symptom improvement.","text/15b.html_decision1_read",79,4983,70,2387,5,6,3578,5,6,2841,81,2192,69,2483,0,1119,96773,NA
1,5,42,2,0,"hypothesis-inconsistent","Laxative abuse in Bulimia nervosa and Prolonged Inpatient Stay","Laxative abuse (LA) in patients with bulimia nervosa (BN) is associated with greater suicidality and self-harm as compared to self-induced vomiting (SIV). Due to these unfavorable associations with LA, we assumed that patients who mainly use LA for compensatory purging would also remain in inpatient treatment for longer than BN patients who mainly use SIV. We interviewed 154 patients with BN about their compensatory behaviors following admission to an inpatient clinic for eating disorders. Of these, 102 individuals reported predominantly using SIV while 52 reported predominantly using LA. Compared to patients mainly using SIV (M = 10.5, SD = 4.1), patients primarily using LA did not stay in inpatient care for longer (M = 9.8, SD = 4.6). While there are several unfavorable associations with LA, we conclude that LA in patients with BN is not associated with prolonged inpatient stays.","text/2b.html_decision1_read",39,3306,20,2082,5,6,5072,5,6,2286,32,2787,16,1852,0,913,32309,NA
1,6,51,13,1,"hypothesis-consistent","Systemic Therapy & Metacognitive Therapy in Bipolar I disorder","Recent studies suggest that systemic therapy (ST) provides beneficial effects in terms of reducing symptoms and recurrence rates in mood disorders, which exceed the effects of other therapies such as metacognitive therapy (MT). However, to date, no study has compared the effectiveness of ST and MT in patients with bipolar I disorder (BID). To fill this gap, in a randomized controlled trial, we compared the effectiveness of MT and ST regarding symptom reduction in 163 patients with BID. We hypothesized that symptom reduction would be more pronounced in the ST group than in the MT group. Participants completed symptom severity measures at baseline and at 6-month follow-up. While symptoms decreased in both conditions, the ST group showed a stronger symptom reduction than the MT group. The results provide evidence that ST represents an efficacious treatment option for BID, which is superior to MT.","text/13a.html_decision1_read",70,3275,73,2049,4,5,2485,4,5,4066,62,3715,67,1597,0,1249,77563,NA
1,7,60,4,0,"hypothesis-inconsistent","Gender & Mindful-Based Cognitive Therapy","Mindfulness-based cognitive therapy (MBCT) has proven to be efficacious for stress reduction and has become increasingly popular over recent years, especially in female patients. However, little research has explored whether its effectiveness is moderated by gender. The current study therefore investigated whether female participants benefit more from MBCT compared to male participants. Seventy-six females and 69 males completed an MBCT program consisting of eight sessions delivered weekly. Stress symptoms were assessed using the Perceived Stress Scale (PSS) at three measurement time points: 1 week before the intervention, 1 week after the intervention and 7 weeks after the intervention. Pre-intervention stress levels were comparable between the two groups. Males reported lower levels of perceived stress after the intervention than did females. No other main effects or interactions emerged across any of the outcome variables. Contrary to our hypothesis, these findings indicate that males may benefit more from MBCT than females.","text/4b.html_decision1_read",60,2763,60,1682,1,2,3708,1,2,2337,50,3801,53,1364,0,1119,126320,NA
1,8,69,11,1,"hypothesis-consistent","Changes in Life Satisfaction after Interpersonal Therapy for Alcohol Abuse Disorder: Teletherapy vs. face-to-face therapy","Interpersonal therapy has become one of the most efficacious treatment options with regard to life satisfaction (LS) for individuals suffering from alcohol abuse disorder (AAD) in the post-acute withdrawal stage. The COVID-19 pandemic has led to an increased need for digital psychotherapy solutions, also in AAD. To date, however, no study has compared the effect of interpersonal therapy on LS in a teletherapy setting versus a face-to-face setting. In a randomized controlled trial, 153 individuals with a previous diagnosis of AAD who had been abstinent for at least six months were randomized to a teletherapy condition or a face-to-face condition. We hypothesized that participants in the two conditions would experience equivalent increases in LS over the course of six months. LS was assessed with the Satisfaction with Life Scale (SWLS) at baseline and six months later. On average, LS increased between the two measurement time points. Furthermore, using equivalency testing, after six months, patients did not show differences in LS scores between the face-to-face and the teletherapy condition, confirming our hypothesis. The results suggest that patients with AAD benefit equally from traditional interpersonal therapy in a face-to-face setting and in an interpersonal teletherapy setting.","text/11a.html_decision1_read",46,4606,43,1728,0,1,2483,1,2,4051,41,2611,35,3603,1,1393,96493,1761
1,9,79,10,0,"hypothesis-inconsistent","Schema therapy & Openness in Borderline PD","Schema therapy (ST) is known to be an efficacious treatment with medium to large effect sizes in young adults diagnosed with borderline personality disorder (BPD). Nevertheless, patients’ treatment outcomes vary strongly in ST. It remains unclear which factors drive this variability in treatment efficacy. We hypothesized that openness to experience might positively moderate the effectiveness of ST, with individuals with higher levels of openness experiencing more pronounced reductions in symptom burden. 125 participants aged between 18 and 29 years participated in our quasi-experimental pretest/posttest study. Participants completed self-report measures of BPD symptoms and of attitudes about openness to experience before (t0) and after (t1) attending either a 12-session ST program (n = 62) or a wait list condition (n = 63). Participants in the ST condition showed a pronounced symptom improvement while there was no improvement in the wait list condition. Contrary to our hypothesis, improvement over time was negatively moderated by openness to experience in the ST group: Individuals who reported lower levels of openness to experience showed more pronounced reductions in BPD symptoms. The results indicate that high openness to experience might represent a risk factor for treatment non-response in young adults undergoing ST for the treatment of BPD.","text/10b.html_decision1_read",62,2673,68,1826,2,3,7344,3,4,1793,59,7121,61,2594,0,880,44152,NA
1,10,88,5,1,"hypothesis-consistent","Pre-Treatment Symptom Severity in Psychodynamic Therapy for PTSD","To date, there is a lack of knowledge about whether psychotherapeutic interventions work equally well in PTSD patients regardless of initial symptom severity. In a randomized controlled trial, we therefore investigated whether treatments would reduce PTSD symptoms differently depending on patients' baseline symptom burden. We postulated that high initial symptom burden would be associated with smaller symptom improvement. A total of 153 PTSD patients were assigned either to six months of psychodynamic therapy (n = 73) or a waiting list control group (n = 80). Symptom severity was measured 1 week before the first therapy session and 1, 3, and 6 months later. Longitudinal multilevel models were fitted. Symptom severity decreased over time only in the treatment group. However, high initial symptom severity predicted lower changes in symptom severity. Confirming our hypothesis, our results indicate that patients with high pre-treatment symptom severity benefit less from therapy, whereas those with low initial severity benefit more.","text/5a.html_decision1_read",55,4003,59,1602,2,3,2007,2,3,3735,39,1742,44,1556,1,1277,213218,1449
